"order_delivery_no","order_id","invoice_type"
"CK21072805911","1408610513447469057","2"
"CK21063006495","1408610513447469057","2"
"CK21063002317","1408610513602658305","1"
"CK21080201961","1408610513636212737","2"
"CK21062805305","1408610513636212737","2"
"CK21063000940","1408610513675227138","2"
"CK21072805001","1408610513809649666","2"
"CK21062904278","1408610513809649666","2"
"CK21080200445","1408610513809649667","2"
"CK21062806519","1408610513809649667","2"
"CK21080200178","1408610514324078593","2"
"CK21063000419","1408610514324078593","2"
"CK21072804716","1408610514329223170","2"
"CK21062809289","1408610514329223170","2"
"CK21072801607","1408610514358583297","5"
"CK21062903229","1408610514358583297","5"
"CK21072806825","1408610514554765314","2"
"CK21062904251","1408610514554765314","2"
"CK21062905326","1408610514781257729","2"
"CK21072805071","1408610514874408962","1"
"CK21062809023","1408610514874408962","1"
"CK21072807197","1408610515053821953","2"
"CK21063005708","1408610515053821953","2"
"CK21072801865","1408610515092512770","2"
"CK21063003884","1408610515092512770","2"
"CK21080200332","1408610515169959938","2"
"CK21063000340","1408610515169959938","2"
"CK21063000671","1408610515441233921","2"
"CK21080200347","1408610515897892866","2"
"CK21063000332","1408610515897892866","2"
"CK21063002367","1408610516095913990","2"
"CK21063001025","1408610516375969793","2"
"CK21072804314","1408610516653756418","5"
"CK21062809600","1408610516653756418","5"
"CK21080200793","1408610516850315266","1"
"CK21062905912","1408610516850315266","1"
"CK21072804936","1408610516875091969","2"
"CK21062809124","1408610516875091969","2"
"CK21063000306","1408610516904452097","1"
"CK21063001455","1408610516980543489","2"
"CK21062808060","1408610517064798209","2"
"CK21062807524","1408610517169287169","2"
"CK21080203296","1408610517278339073","1"
"CK21062804223","1408610517278339073","1"
"CK21062807169","1408610517363580930","5"
"CK21072804890","1408610517424545793","1"
"CK21062809157","1408610517424545793","1"
"CK21080200692","1408610517425508353","1"
"CK21062806322","1408610517425508353","1"
"CK21072804897","1408610517613883393","1"
"CK21062809152","1408610517613883393","1"
"CK21072804918","1408610517850120193","1"
"CK21062904288","1408610517850120193","1"
"CK21062905787","1408610517991739394","2"
"CK21062807309","1408610518066274305","2"
"CK21063002464","1408610518113374210","2"
"CK21072804946","1408610518182772737","2"
"CK21063002365","1408610518182772737","2"
